finding_id,name,pack_id,source_id,evaluation_mode,framework,control_id,control_ref,control_family,requirement_profile,requirement_name,requirement_source_id,entity_type,freshness_window,source_capability_status,compliance_evidence_status,requirement_match_status,framework_version,framework_lifecycle,framework_authority,framework_source_type,framework_source_status,framework_source_url,framework_evidence_model
account-lateral-dormant,Account with a lateral movement finding to admin is inactive for over 90 days,policy,policy,event,CIS Controls v8,5,CIS Controls v8 5,CIS Controls v8 5 Account Management,governance-risk,Governance and Risk Evidence,grc_policy_repository,control_document,365d,source_capability_defined,partial_source_backed,requirement_defined,v8.1,current,Center for Internet Security,prioritized_safeguard_catalog,official_landing,https://www.cisecurity.org/controls,"Asset, software, vulnerability, access, logging, malware, data protection, and incident response evidence by safeguard."
account-lateral-dormant,Account with a lateral movement finding to admin is inactive for over 90 days,policy,policy,event,CIS Controls v8,5,CIS Controls v8 5,CIS Controls v8 5 Account Management,governance-risk,Governance and Risk Evidence,risk_register,risk_record,90d,source_capability_defined,partial_source_backed,requirement_defined,v8.1,current,Center for Internet Security,prioritized_safeguard_catalog,official_landing,https://www.cisecurity.org/controls,"Asset, software, vulnerability, access, logging, malware, data protection, and incident response evidence by safeguard."
account-lateral-dormant,Account with a lateral movement finding to admin is inactive for over 90 days,policy,policy,event,CIS Controls v8,5,CIS Controls v8 5,CIS Controls v8 5 Account Management,identity-access,Identity and Access Evidence,aws,iam_entitlement,24h,source_capability_defined,partial_source_backed,requirement_defined,v8.1,current,Center for Internet Security,prioritized_safeguard_catalog,official_landing,https://www.cisecurity.org/controls,"Asset, software, vulnerability, access, logging, malware, data protection, and incident response evidence by safeguard."
account-lateral-dormant,Account with a lateral movement finding to admin is inactive for over 90 days,policy,policy,event,CIS Controls v8,5,CIS Controls v8 5,CIS Controls v8 5 Account Management,identity-access,Identity and Access Evidence,github,repository_access,24h,source_capability_defined,partial_source_backed,requirement_defined,v8.1,current,Center for Internet Security,prioritized_safeguard_catalog,official_landing,https://www.cisecurity.org/controls,"Asset, software, vulnerability, access, logging, malware, data protection, and incident response evidence by safeguard."
account-lateral-dormant,Account with a lateral movement finding to admin is inactive for over 90 days,policy,policy,event,CIS Controls v8,5,CIS Controls v8 5,CIS Controls v8 5 Account Management,identity-access,Identity and Access Evidence,okta,identity_user,24h,source_capability_defined,partial_source_backed,source_coverage_matches_requirement,v8.1,current,Center for Internet Security,prioritized_safeguard_catalog,official_landing,https://www.cisecurity.org/controls,"Asset, software, vulnerability, access, logging, malware, data protection, and incident response evidence by safeguard."
account-lateral-dormant,Account with a lateral movement finding to admin is inactive for over 90 days,policy,policy,event,CIS Controls v8,6,CIS Controls v8 6,CIS Controls v8 6 Access Control Management,governance-risk,Governance and Risk Evidence,grc_policy_repository,control_document,365d,source_capability_defined,partial_source_backed,requirement_defined,v8.1,current,Center for Internet Security,prioritized_safeguard_catalog,official_landing,https://www.cisecurity.org/controls,"Asset, software, vulnerability, access, logging, malware, data protection, and incident response evidence by safeguard."
account-lateral-dormant,Account with a lateral movement finding to admin is inactive for over 90 days,policy,policy,event,CIS Controls v8,6,CIS Controls v8 6,CIS Controls v8 6 Access Control Management,governance-risk,Governance and Risk Evidence,risk_register,risk_record,90d,source_capability_defined,partial_source_backed,requirement_defined,v8.1,current,Center for Internet Security,prioritized_safeguard_catalog,official_landing,https://www.cisecurity.org/controls,"Asset, software, vulnerability, access, logging, malware, data protection, and incident response evidence by safeguard."
account-lateral-dormant,Account with a lateral movement finding to admin is inactive for over 90 days,policy,policy,event,CIS Controls v8,6,CIS Controls v8 6,CIS Controls v8 6 Access Control Management,identity-access,Identity and Access Evidence,aws,iam_entitlement,24h,source_capability_defined,partial_source_backed,requirement_defined,v8.1,current,Center for Internet Security,prioritized_safeguard_catalog,official_landing,https://www.cisecurity.org/controls,"Asset, software, vulnerability, access, logging, malware, data protection, and incident response evidence by safeguard."
account-lateral-dormant,Account with a lateral movement finding to admin is inactive for over 90 days,policy,policy,event,CIS Controls v8,6,CIS Controls v8 6,CIS Controls v8 6 Access Control Management,identity-access,Identity and Access Evidence,github,repository_access,24h,source_capability_defined,partial_source_backed,requirement_defined,v8.1,current,Center for Internet Security,prioritized_safeguard_catalog,official_landing,https://www.cisecurity.org/controls,"Asset, software, vulnerability, access, logging, malware, data protection, and incident response evidence by safeguard."
account-lateral-dormant,Account with a lateral movement finding to admin is inactive for over 90 days,policy,policy,event,CIS Controls v8,6,CIS Controls v8 6,CIS Controls v8 6 Access Control Management,identity-access,Identity and Access Evidence,okta,identity_user,24h,source_capability_defined,partial_source_backed,source_coverage_matches_requirement,v8.1,current,Center for Internet Security,prioritized_safeguard_catalog,official_landing,https://www.cisecurity.org/controls,"Asset, software, vulnerability, access, logging, malware, data protection, and incident response evidence by safeguard."
